Membership No  Date Joined  Active  
    90027      2019-9-14    yes   
    63445      2018-7-12    no    
    96542      2016-6-12    no    
    63771      2019-11-2    yes   
    13028      2020-11-4    no    
    61915      2018-11-25   no    
    43780      2020-12-20   yes   
    25526      2016-9-1     no    
    81275      2015-7-10    no    
    96246      2019-2-17    no    
    84267      2019-8-3     no    
    69362      2015-10-19   no    
    54835      2020-2-12    no    
    38682      2017-12-23   yes   
    88374      2020-2-1     yes   
    88945      2020-5-19    yes   
    42704      2019-11-16   no    
    77996      2017-9-18    yes   
    74642      2016-5-2     no    
    73501      2016-9-14    no    
